County,Population (January 2019),Population in Group Quarters (January 2019),Population: Unincorporated (January 2019),"Population: Unincorporated, Group Quarters (January 2019)",Race/Ethnicity: American Indian (2019),Race/Ethnicity: Asian (2019),Race/Ethnicity: Black (2019),Race/Ethnicity: Hispanic (2019),Race/Ethnicity: Multi-Racial/Ethnic (2019),Race/Ethnicity: Hawaiian/ Pacific Island (2019),Race/Ethnicity: White (2019),Age: 0-5 (2019),Age: 6-17 (2019),Age: 18-64 (2019),Age: 65+ (2019),Eligible Voters (February 2019),Registered Voters: No Party (February 2019),Registered Voters: Democrat (February 2019),Registered Voters: Republican (February 2019),Registered Voters: Other Party (February 2019),Labor Force: Employed (2018),Labor Force: Unemployed (2018),Labor Force: Unemployment Rate (2018),Poverty: All Ages (2017),Poverty: All Ages Percent (2017),Poverty: Under 18 (2017),Poverty: Under 18 Percent (2017),Median Household Income (2017)
Santa Cruz,"274,871","14,663","133,721","1,842","1,053","11,682","2,514","96,384","7,594",327,"157,484","17,218","41,638","169,910","48,272","190,154","43,480","87,412","22,129","7,268"," 135,600 "," 7,000 ",4.9%,"33,262",12.6%,"7,223",13.7%,"$76,633 "
Shasta,"178,773","2,889","65,228",559,"4,304","4,902","1,682","16,890","6,402",265,"144,336","12,394","25,860","103,226","37,301","134,587","25,629","23,139","46,382","5,966"," 70,500 "," 3,700 ",4.9%,"30,155",17.0%,"8,635",22.9%,"$51,207 "
Sierra,"3,213",33,"2,469",2,45,14,6,284,66,3,"2,727",158,307,"1,645","1,035","2,628",502,596,872,179," 1,200 ", 80 ,6.0%,404,13.7%,93,20.2%,"$49,495 "
Siskiyou,"44,584",604,"24,530",203,"1,590",597,553,"5,271","1,949",79,"34,062","2,714","5,831","23,825","11,731","34,565","6,806","8,152","10,466","2,057"," 16,240 "," 1,160 ",6.7%,"7,679",17.7%,"2,238",25.7%,"$44,013 "
Solano,"441,307","11,462","19,580",197,"1,996","63,117","62,402","115,395","23,716","3,570","174,311","31,243","68,539","270,594","74,131","293,433","66,558","106,452","50,006","11,507"," 201,600 "," 8,200 ",3.9%,"43,352",10.0%,"13,687",14.0%,"$75,931 "
Sonoma,"500,675","10,149","141,781","5,282","3,710","19,552","7,745","134,378","13,658","1,562","323,894","27,894","66,644","303,694","106,267","352,800","70,244","143,054","49,386","13,815"," 255,200 "," 7,200 ",2.7%,"46,165",9.3%,"10,726",10.9%,"$79,511 "
Stanislaus,"558,972","6,641","118,046","1,475","2,987","27,862","14,680","251,935","14,981","3,357","245,339","46,199","99,739","340,071","75,132","343,027","58,259","92,669","86,375","12,220"," 227,900 "," 15,600 ",6.4%,"75,614",14.0%,"27,296",18.6%,"$58,925 "
Sutter,"97,490",760,"21,114",60,965,"14,702","1,858","30,919","3,288",293,"47,518","7,873","16,795","59,579","15,296","60,520","11,870","13,715","18,102","2,492"," 42,100 "," 3,400 ",7.5%,"12,628",13.2%,"4,521",18.2%,"$54,102 "
Tehama,"64,387",854,"42,136",374,"1,250",671,375,"15,913","1,811",66,"44,665","4,810","10,202","37,118","12,621","43,820","8,626","8,277","14,138","2,209"," 24,180 "," 1,450 ",5.7%,"12,718",20.1%,"4,363",29.0%,"$41,819 "
Trinity,"13,688",391,"13,688",391,553,108,52,"1,093",574,16,"11,011",714,"1,554","7,029","4,110","11,277","1,438","2,351","2,409",774," 4,440 ", 270 ,5.7%,"2,529",20.3%,671,32.1%,"$40,676 "
Tulare,"479,112","4,665","144,741","1,429","3,492","15,316","5,892","304,967","6,567",432,"145,138","44,207","99,296","280,429","57,872","264,686","43,488","52,751","65,388","8,459"," 184,900 "," 19,600 ",9.6%,"110,299",24.0%,"45,371",31.9%,"$46,377 "
Tuolumne,"54,590","3,488","49,713","3,187",814,598,990,"6,084","1,452",64,"42,762","2,752","5,789","29,380","14,843","40,793","7,915","9,208","13,125","1,840"," 20,360 ", 980 ,4.6%,"6,205",12.2%,"1,558",17.5%,"$58,776 "
Ventura,"856,598","11,206","96,377","3,850","2,506","57,414","13,618","368,909","19,576","1,422","395,900","58,505","134,554","526,694","139,592","550,267","116,121","179,483","132,378","22,107"," 409,700 "," 16,100 ",3.8%,"80,217",9.5%,"25,607",13.2%,"$82,436 "
Yolo,"222,581","13,203","31,200","10,569","1,257","30,834","5,457","70,582","7,983","1,080","107,362","14,660","36,408","144,258","29,229","150,896","31,752","52,995","21,798","5,730"," 104,000 "," 4,600 ",4.2%,"36,761",17.5%,"6,447",14.1%,"$64,900 "
Yuba,"77,916","1,119","61,586",513,"1,289","5,487","2,328","20,783","3,647",279,"44,427","7,079","14,358","46,727","10,076","48,385","9,999","9,076","12,158","2,591"," 27,200 "," 1,900 ",6.4%,"11,609",15.3%,"4,556",21.9%,"$53,822 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
